Departamento;Municipio;Semester;count;min;max;mean;std,
BOLIVAR;EL GUAMO;2023-S1;10422;0.0;0.33;5.9489541354826336e-05;0.0034573236322959435,
CUNDINAMARCA;QUEBRADANEGRA;2023-S1;10465;0.0;22.7;0.0473100812231247;0.4818838441544944,
META;PUERTO LÓPEZ;2023-S1;17267;0.0;7.3;0.006694851450744194;0.13852202494261384,
SANTANDER;ONZAGA;2023-S1;10670;0.0;10.4;0.02999062792877226;0.3095146604924878,
BOYACÁ;MONGUA;2023-S1;10676;0.0;15.0;0.023810415886099664;0.26646921906710824,
NARIÑO;CUMBITARA;2023-S1;10237;0.0;0.0;0.0;0.0,
BOYACÁ;SIACHOQUE;2023-S1;10676;0.0;0.8;0.0025665043087298614;0.02606005994435907,
ANTIOQUIA;SANTA ROSA DE OSOS;2023-S1;10624;0.0;2.6;0.028830948795180725;0.15848973048887263,
BOYACÁ;CHITA;2023-S1;10674;0.0;0.0;0.0;0.0,
BOYACÁ;MOTAVITA;2023-S1;10674;0.0;8.0;0.027543563799887576;0.23541542992257805,
HUILA;BARAYA;2023-S1;10525;0.0;0.1;0.0009881235154394301;0.009891676294942588,
CAUCA;PURACÉ (COCONUCO);2023-S1;16358;0.0;10.0;0.02910502506418878;0.20138499137242757,
ANTIOQUIA;YOLOMBÓ;2023-S1;4038;0.0;0.0;0.0;0.0,
VALLE DEL CAUCA;ANSERMANUEVO;2023-S1;6549;0.0;6.4;0.026370438234845018;0.2220633461566732,
RISARALDA;BELÉN DE UMBRÍA;2023-S1;7772;0.0;1.1;0.035666495110653625;0.06594418579070777,
CUNDINAMARCA;RICAURTE;2023-S1;1851;0.0;2.8;0.007671528903295517;0.09452888673202667,
CUNDINAMARCA;NIMAIMA;2023-S1;558;0.0;0.6;0.014516129032258063;0.07105791193739464,
AMAZONAS;LETICIA;2023-S1;4577;0.0;17.69;0.0953397421892069;0.6411272607593848,
HUILA;PITALITO;2023-S1;212;0.0;0.0;0.0;0.0,
NARINO;MALLAMA (PIEDRANCHA);2023-S1;21029;0.0;9.4;0.01427552427599981;0.16355361631745316,
ANTIOQUIA;NECHÍ;2023-S1;38596;0.0;19.1;0.01957974919680796;0.2972985239133843,
